Starost,Števec,,,,,,avg_score,,task_difficulty,gpt_enabled,avg_score,,,,,,
11,3,,,,1,0,3.2,,1,Da,3.2,,,Sum of avg_score,Column Labels,,
12,4,,,,1,1,3.5,,1,Ne,3.5,,,Row Labels,0,1,Grand Total
13,7,,,,2,0,2.8,,2,Da,2.8,,,1,3.2,3.5,6.7
14,8,,,,2,1,4.5,,2,Ne,4.5,,,2,2.8,4.5,7.3
15,8,,,,3,0,2.7,,3,Da,2.7,,,3,2.7,4.2,6.9
16,1,,,,3,1,4.2,,3,Ne,4.2,,,Grand Total,8.7,12.2,20.9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,Sum of avg_score,Column Labels,,,,,,,
,,,,,,,,,Row Labels,0,1,Grand Total,,,,,
,,,,,,,,,1,3.2,3.5,6.7,,,,,
,,,,,,,,,2,2.8,4.5,7.3,,,,,
,,,,,,,,,3,2.7,4.2,6.9,,,,,
,,,,,,,,,Grand Total,8.7,12.2,20.9,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Sum of avg_score,Column Labels,,,,,,,,,,,
,,,,,Row Labels,0,1,Grand Total,,,,,,,,,
,,,,,1,3.2,3.5,6.7,,,,,,,,,
,,,,,2,2.8,4.5,7.3,,,,,,,,,
,,,,,3,2.7,4.2,6.9,,,,,,,,,
,,,,,Grand Total,8.7,12.2,20.9,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Sum of avg_score,Column Labels,,,,,,,,
,,,,,,,,Row Labels,da,ne,Grand Total,,,,,,
,,,,,,,,1,,2.8,2.8,,,,,,
,,,,,,,,2,3.3,,3.3,,,,,,
,,,,,,,,3,,3.6,3.6,,,,,,
,,,,,,,,4,3.7,,3.7,,,,,,
,,,,,,,,5,,2.8,2.8,,,,,,
,task_id,difficulty,avg_score,,,,,6,4.5,,4.5,,,,,,
,1,1,2.8,,,,,7,,2.7,2.7,,,,,,
,2,1,3.3,,,,,8,4.2,,4.2,,,,,,
,3,1,3.6,,,,,Grand Total,15.7,11.9,27.6,,,,,,
,4,1,3.7,,,,,,,,,,,,,,
,5,2,2.8,,,,,,,,,,,,,,
,6,2,4.5,,,,,,,,,,,,,,
,7,3,2.7,,,,,,,,,,,,,,
,8,3,4.2,,,,,,,,,,,,,,
